nama_provinsi,tahun,nilai,indikator
JAWA TENGAH,2020,12.7,Harapan Lama Sekolah
JAWA TENGAH,2020,7.69,Rata-rata Lama Sekolah
JAWA TENGAH,2021,12.77,Harapan Lama Sekolah
JAWA TENGAH,2021,7.75,Rata-rata Lama Sekolah
JAWA TENGAH,2022,12.81,Harapan Lama Sekolah
JAWA TENGAH,2022,7.93,Rata-rata Lama Sekolah
JAWA TENGAH,2023,12.85,Harapan Lama Sekolah
JAWA TENGAH,2023,8.01,Rata-rata Lama Sekolah
JAWA TENGAH,2024,12.86,Harapan Lama Sekolah
JAWA TENGAH,2024,8.02,Rata-rata Lama Sekolah
JAWA TIMUR,2010,11.49,Harapan Lama Sekolah
JAWA TIMUR,2010,6.73,Rata-rata Lama Sekolah
JAWA TIMUR,2011,11.62,Harapan Lama Sekolah
JAWA TIMUR,2011,6.79,Rata-rata Lama Sekolah
JAWA TIMUR,2012,11.74,Harapan Lama Sekolah
JAWA TIMUR,2012,6.85,Rata-rata Lama Sekolah
JAWA TIMUR,2013,12.17,Harapan Lama Sekolah
JAWA TIMUR,2013,6.9,Rata-rata Lama Sekolah
JAWA TIMUR,2014,12.45,Harapan Lama Sekolah
JAWA TIMUR,2014,7.05,Rata-rata Lama Sekolah
JAWA TIMUR,2015,12.66,Harapan Lama Sekolah
JAWA TIMUR,2015,7.14,Rata-rata Lama Sekolah
JAWA TIMUR,2016,12.98,Harapan Lama Sekolah
JAWA TIMUR,2016,7.23,Rata-rata Lama Sekolah
JAWA TIMUR,2017,13.09,Harapan Lama Sekolah
JAWA TIMUR,2017,7.34,Rata-rata Lama Sekolah
JAWA TIMUR,2018,13.1,Harapan Lama Sekolah
JAWA TIMUR,2018,7.39,Rata-rata Lama Sekolah
JAWA TIMUR,2019,13.16,Harapan Lama Sekolah
JAWA TIMUR,2019,7.59,Rata-rata Lama Sekolah
JAWA TIMUR,2020,13.19,Harapan Lama Sekolah
JAWA TIMUR,2020,7.78,Rata-rata Lama Sekolah
JAWA TIMUR,2021,13.36,Harapan Lama Sekolah
JAWA TIMUR,2021,7.88,Rata-rata Lama Sekolah
JAWA TIMUR,2022,13.37,Harapan Lama Sekolah
JAWA TIMUR,2022,8.03,Rata-rata Lama Sekolah
JAWA TIMUR,2023,13.38,Harapan Lama Sekolah
JAWA TIMUR,2023,8.11,Rata-rata Lama Sekolah
JAWA TIMUR,2024,13.43,Harapan Lama Sekolah
JAWA TIMUR,2024,8.28,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2010,10.79,Harapan Lama Sekolah
KALIMANTAN BARAT,2010,6.27,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2011,10.8,Harapan Lama Sekolah
KALIMANTAN BARAT,2011,6.32,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2012,11.11,Harapan Lama Sekolah
KALIMANTAN BARAT,2012,6.62,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2013,11.6,Harapan Lama Sekolah
KALIMANTAN BARAT,2013,6.69,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2014,11.89,Harapan Lama Sekolah
KALIMANTAN BARAT,2014,6.83,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2015,12.25,Harapan Lama Sekolah
KALIMANTAN BARAT,2015,6.93,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2016,12.37,Harapan Lama Sekolah
KALIMANTAN BARAT,2016,6.98,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2017,12.5,Harapan Lama Sekolah
KALIMANTAN BARAT,2017,7.05,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2018,12.55,Harapan Lama Sekolah
KALIMANTAN BARAT,2018,7.12,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2019,12.58,Harapan Lama Sekolah
KALIMANTAN BARAT,2019,7.31,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2020,12.6,Harapan Lama Sekolah
KALIMANTAN BARAT,2020,7.37,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2021,12.65,Harapan Lama Sekolah
KALIMANTAN BARAT,2021,7.45,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2022,12.66,Harapan Lama Sekolah
KALIMANTAN BARAT,2022,7.59,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2023,12.67,Harapan Lama Sekolah
KALIMANTAN BARAT,2023,7.71,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2024,12.68,Harapan Lama Sekolah
KALIMANTAN BARAT,2024,7.78,Rata-rata Lama Sekolah
KALIMANTAN SELATAN,2010,10.86,Harapan Lama Sekolah
KALIMANTAN SELATAN,2010,7.25,Rata-rata Lama Sekolah
KALIMANTAN SELATAN,2011,11.14,Harapan Lama Sekolah
KALIMANTAN SELATAN,2011,7.37,Rata-rata Lama Sekolah
KALIMANTAN SELATAN,2012,11.54,Harapan Lama Sekolah
KALIMANTAN SELATAN,2012,7.48,Rata-rata Lama Sekolah
KALIMANTAN SELATAN,2013,11.67,Harapan Lama Sekolah
KALIMANTAN SELATAN,2013,7.59,Rata-rata Lama Sekolah
KALIMANTAN SELATAN,2014,11.96,Harapan Lama Sekolah
KALIMANTAN SELATAN,2014,7.6,Rata-rata Lama Sekolah
KALIMANTAN SELATAN,2015,12.21,Harapan Lama Sekolah
KALIMANTAN SELATAN,2015,7.76,Rata-rata Lama Sekolah
KALIMANTAN SELATAN,2016,12.29,Harapan Lama Sekolah
KALIMANTAN SELATAN,2016,7.89,Rata-rata Lama Sekolah
KALIMANTAN SELATAN,2017,12.46,Harapan Lama Sekolah
KALIMANTAN SELATAN,2017,7.99,Rata-rata Lama Sekolah
KALIMANTAN SELATAN,2018,12.5,Harapan Lama Sekolah
KALIMANTAN SELATAN,2018,8.0,Rata-rata Lama Sekolah
KALIMANTAN SELATAN,2019,12.52,Harapan Lama Sekolah
KALIMANTAN SELATAN,2019,8.2,Rata-rata Lama Sekolah
KALIMANTAN SELATAN,2020,12.68,Harapan Lama Sekolah
KALIMANTAN SELATAN,2020,8.29,Rata-rata Lama Sekolah
KALIMANTAN SELATAN,2021,12.81,Harapan Lama Sekolah
KALIMANTAN SELATAN,2021,8.34,Rata-rata Lama Sekolah
KALIMANTAN SELATAN,2022,12.82,Harapan Lama Sekolah
KALIMANTAN SELATAN,2022,8.46,Rata-rata Lama Sekolah
KALIMANTAN SELATAN,2023,12.86,Harapan Lama Sekolah
KALIMANTAN SELATAN,2023,8.55,Rata-rata Lama Sekolah
KALIMANTAN SELATAN,2024,12.87,Harapan Lama Sekolah
KALIMANTAN SELATAN,2024,8.62,Rata-rata Lama Sekolah
KALIMANTAN TENGAH,2010,11.09,Harapan Lama Sekolah
KALIMANTAN TENGAH,2010,7.62,Rata-rata Lama Sekolah
KALIMANTAN TENGAH,2011,11.15,Harapan Lama Sekolah
KALIMANTAN TENGAH,2011,7.68,Rata-rata Lama Sekolah
KALIMANTAN TENGAH,2012,11.22,Harapan Lama Sekolah
KALIMANTAN TENGAH,2012,7.73,Rata-rata Lama Sekolah
KALIMANTAN TENGAH,2013,11.71,Harapan Lama Sekolah
KALIMANTAN TENGAH,2013,7.79,Rata-rata Lama Sekolah
KALIMANTAN TENGAH,2014,11.93,Harapan Lama Sekolah
KALIMANTAN TENGAH,2014,7.82,Rata-rata Lama Sekolah
KALIMANTAN TENGAH,2015,12.22,Harapan Lama Sekolah
KALIMANTAN TENGAH,2015,8.03,Rata-rata Lama Sekolah
KALIMANTAN TENGAH,2016,12.33,Harapan Lama Sekolah
KALIMANTAN TENGAH,2016,8.13,Rata-rata Lama Sekolah
KALIMANTAN TENGAH,2017,12.45,Harapan Lama Sekolah
KALIMANTAN TENGAH,2017,8.29,Rata-rata Lama Sekolah
KALIMANTAN TENGAH,2018,12.55,Harapan Lama Sekolah
KALIMANTAN TENGAH,2018,8.37,Rata-rata Lama Sekolah
KALIMANTAN TENGAH,2019,12.57,Harapan Lama Sekolah
KALIMANTAN TENGAH,2019,8.51,Rata-rata Lama Sekolah
KALIMANTAN TENGAH,2020,12.66,Harapan Lama Sekolah
KALIMANTAN TENGAH,2020,8.59,Rata-rata Lama Sekolah
KALIMANTAN TENGAH,2021,12.74,Harapan Lama Sekolah
KALIMANTAN TENGAH,2021,8.64,Rata-rata Lama Sekolah
KALIMANTAN TENGAH,2022,12.75,Harapan Lama Sekolah
KALIMANTAN TENGAH,2022,8.65,Rata-rata Lama Sekolah
KALIMANTAN TENGAH,2023,12.76,Harapan Lama Sekolah
KALIMANTAN TENGAH,2023,8.73,Rata-rata Lama Sekolah
KALIMANTAN TENGAH,2024,12.77,Harapan Lama Sekolah
KALIMANTAN TENGAH,2024,8.81,Rata-rata Lama Sekolah
KALIMANTAN TIMUR,2010,11.87,Harapan Lama Sekolah
KALIMANTAN TIMUR,2010,8.56,Rata-rata Lama Sekolah
KALIMANTAN TIMUR,2011,12.06,Harapan Lama Sekolah
KALIMANTAN TIMUR,2011,8.79,Rata-rata Lama Sekolah
KALIMANTAN TIMUR,2012,12.46,Harapan Lama Sekolah
KALIMANTAN TIMUR,2012,8.83,Rata-rata Lama Sekolah
KALIMANTAN TIMUR,2013,12.85,Harapan Lama Sekolah
KALIMANTAN TIMUR,2013,8.87,Rata-rata Lama Sekolah
KALIMANTAN TIMUR,2014,13.17,Harapan Lama Sekolah
KALIMANTAN TIMUR,2014,9.04,Rata-rata Lama Sekolah
KALIMANTAN TIMUR,2015,13.18,Harapan Lama Sekolah
KALIMANTAN TIMUR,2015,9.15,Rata-rata Lama Sekolah
KALIMANTAN TIMUR,2016,13.35,Harapan Lama Sekolah
KALIMANTAN TIMUR,2016,9.24,Rata-rata Lama Sekolah
KALIMANTAN TIMUR,2017,13.49,Harapan Lama Sekolah
KALIMANTAN TIMUR,2017,9.36,Rata-rata Lama Sekolah
KALIMANTAN TIMUR,2018,13.67,Harapan Lama Sekolah
KALIMANTAN TIMUR,2018,9.48,Rata-rata Lama Sekolah
KALIMANTAN TIMUR,2019,13.69,Harapan Lama Sekolah
KALIMANTAN TIMUR,2019,9.7,Rata-rata Lama Sekolah
KALIMANTAN TIMUR,2020,13.72,Harapan Lama Sekolah
KALIMANTAN TIMUR,2020,9.77,Rata-rata Lama Sekolah
KALIMANTAN TIMUR,2021,13.81,Harapan Lama Sekolah
KALIMANTAN TIMUR,2021,9.84,Rata-rata Lama Sekolah
KALIMANTAN TIMUR,2022,13.84,Harapan Lama Sekolah
KALIMANTAN TIMUR,2022,9.92,Rata-rata Lama Sekolah
KALIMANTAN TIMUR,2023,14.02,Harapan Lama Sekolah
KALIMANTAN TIMUR,2023,9.99,Rata-rata Lama Sekolah
KALIMANTAN TIMUR,2024,14.03,Harapan Lama Sekolah
KALIMANTAN TIMUR,2024,10.02,Rata-rata Lama Sekolah
KALIMANTAN UTARA,2010,0.0,Harapan Lama Sekolah
KALIMANTAN UTARA,2010,0.0,Rata-rata Lama Sekolah
KALIMANTAN UTARA,2011,0.0,Harapan Lama Sekolah
KALIMANTAN UTARA,2011,0.0,Rata-rata Lama Sekolah
KALIMANTAN UTARA,2012,0.0,Harapan Lama Sekolah
KALIMANTAN UTARA,2012,0.0,Rata-rata Lama Sekolah
KALIMANTAN UTARA,2013,12.3,Harapan Lama Sekolah
